provider_email,provider_type,password,phone_number,provider_number,expertise
toby@gmail.com,Pathologist,cs1531,123-898-241,PROV-1111, 
gary@gmail.com,GP,cs1531,321-674-214,PROV-1112, 
samuel@gmail.com,GP,cs1531,578-543-234,PROV-1113, 
sid@gmail.com,Pathologist,cs1531,112-221-457,PROV-1114, 
michael@gmail.com,Physiotherapist,cs1531,146-732-888,PROV-1115, 
anna@gmail.com,GP,cs1531,111-333-222,PROV-1116, 
thomas@gmail.com,Pharmacist,cs1531,123-332-122,PROV-1118, 
ian@gmail.com,Physiotherapist,cs1531,666-666-666,PROV-1119, 
spec@gmail.com,Specialist,cs1531,666-666-666,PROV-2000,test 
andy@gmail.com,Specialist,cs1531,666-666-666,PROV-9999,test
steph@gmail.com,Specialist,cs1531,4312,prov-123,orthopaedic
sam@gmail.com,Specialist,cs1531,3234,prov-1234,dermatologist
sidney@gmail.com,Specialist,cs1531,132434,proasv-1234,neurologist
mike@gmail.com,Specialist,cs1531,1232344,proasdv-1234,cardiologist
carl@gmail.com,Specialist,cs1531,12312344,provasdf-1234,cardiologist
