provider_email,health_centre_name,hours_start,hours_end
toby@gmail.com,Sydney Children Hospital,09:00,17:00
toby@gmail.com,UTS Health Service,09:00,17:00
samuel@gmail.com,Prince of Wales Hospital,09:00,17:00
sid@gmail.com,Royal Prince Alfred Hospital,09:00,17:00
michael@gmail.com,USYD Health Service,09:00,17:00
anna@gmail.com,UTS Health Service,09:00,17:00
thomas@gmail.com,Prince of Wales Hospital,09:00,17:00
ian@gmail.com,Sydney Children Hospital,09:00,17:00
gary@gmail.com,Sydney Children Hospital,09:00,17:00
anna@gmail.com,Sydney Children Hospital,09:00,17:00
anna@gmail.com,Prince of Wales Hospital,09:00,17:00
gary@gmail.com,USYD Health Service,09:00,17:00
andy@gmail.com,USYD Health Service,09:00,17:00
spec@gmail.com,USYD Health Service,09:00,17:00
sam@gmail.com,Sydney Children Hospital,09:00,17:00
steph@gmail.com,Sydney Children Hospital,09:00,17:00
mike@gmail.com,Sydney Children Hospital,09:00,17:00
carl@gmail.com,Sydney Children Hospital,09:00,17:00
sidney@gmail.com,Sydney Children Hospital,09:00,17:00

